Cohort,CaptureYear,CaptureCov,CaptureSwitch,NPOPS,Comps
2002,2010,5,0,0,145
2003,2010,5,0,0,1299
2004,2010,5,0,0,1710
2005,2010,5,0,0,1419
2006,2010,5,0,0,1320
2007,2010,5,0,0,1409
2002,2007,6,0,0,435
2003,2007,6,0,0,3881
2004,2007,6,0,0,5059
2005,2007,6,0,0,4224
2006,2007,6,0,0,3955
2002,2008,6,0,0,145
2003,2008,6,0,0,1299
2004,2008,6,0,0,1710
2005,2008,6,0,0,1419
2006,2008,6,0,0,1320
2007,2008,6,0,0,1409
2002,2010,6,0,0,1305
2003,2010,6,0,0,11686
2004,2010,6,0,0,15355
2005,2010,6,0,0,12754
2006,2010,6,0,0,11872
2007,2010,6,0,0,12675
2002,2006,7,0,0,290
2003,2006,7,0,0,2598
2004,2006,7,0,0,3420
2005,2006,7,0,0,2838
2002,2007,7,0,0,1443
2003,2007,7,0,0,12966
2004,2007,7,0,0,16771
2005,2007,7,0,0,14144
2006,2007,7,0,0,13157
2002,2008,7,0,0,289
2003,2008,7,0,0,2587
2004,2008,7,0,0,3227
2005,2008,7,0,0,2817
2006,2008,7,0,0,2622
2007,2008,7,0,0,2794
2002,2009,7,0,0,1153
2003,2009,7,0,0,10318
2004,2009,7,0,0,12813
2005,2009,7,0,0,11232
2006,2009,7,0,0,10482
2007,2009,7,0,0,11174
2002,2010,7,0,0,1160
2003,2010,7,0,0,10381
2004,2010,7,0,0,13615
2005,2010,7,0,0,11340
2006,2010,7,0,0,10556
2007,2010,7,0,0,11265
2002,2006,8,0,0,435
2003,2006,8,0,0,3897
2004,2006,8,0,0,5130
2005,2006,8,0,0,4257
2002,2007,8,0,0,3760
2003,2007,8,0,0,33704
2004,2007,8,0,0,43595
2005,2007,8,0,0,36760
2006,2007,8,0,0,34236
2002,2008,8,0,0,1273
2003,2008,8,0,0,11454
2004,2008,8,0,0,13990
2005,2008,8,0,0,12262
2006,2008,8,0,0,11638
2007,2008,8,0,0,12384
2002,2009,8,0,0,2450
2003,2009,8,0,0,21956
2004,2009,8,0,0,27560
2005,2009,8,0,0,23889
2006,2009,8,0,0,22294
2007,2009,8,0,0,23784
2002,2010,8,0,0,3335
2003,2010,8,0,0,29839
2004,2010,8,0,0,39125
2005,2010,8,0,0,32563
2006,2010,8,0,0,30340
2007,2010,8,0,0,32384
2002,2006,9,0,0,1015
2003,2006,9,0,0,9075
2004,2006,9,0,0,11872
2005,2006,9,0,0,9892
2002,2007,9,0,0,11965
2003,2007,9,0,0,107273
2004,2007,9,0,0,136530
2005,2007,9,0,0,116668
2006,2007,9,0,0,108930
2002,2008,9,0,0,7274
2003,2008,9,0,0,65186
2004,2008,9,0,0,80714
2005,2008,9,0,0,70295
2006,2008,9,0,0,66413
2007,2008,9,0,0,70637
2002,2009,9,0,0,4053
2003,2009,9,0,0,36218
2004,2009,9,0,0,46278
2005,2009,9,0,0,39437
2006,2009,9,0,0,36773
2007,2009,9,0,0,39273
2002,2010,9,0,0,9535
2003,2010,9,0,0,85044
2004,2010,9,0,0,111293
2005,2010,9,0,0,92368
2006,2010,9,0,0,86818
2007,2010,9,0,0,92502
2002,2006,10,0,0,1160
2003,2006,10,0,0,10390
2004,2006,10,0,0,13638
2005,2006,10,0,0,11345
2002,2007,10,0,0,13420
2003,2007,10,0,0,120034
2004,2007,10,0,0,153288
2005,2007,10,0,0,130238
2006,2007,10,0,0,122262
2002,2008,10,0,0,7776
2003,2008,10,0,0,69702
2004,2008,10,0,0,87593
2005,2008,10,0,0,75629
2006,2008,10,0,1,70814
2007,2008,10,0,0,75511
2002,2009,10,0,0,10103
2003,2009,10,0,0,90362
2004,2009,10,0,0,115403
2005,2009,10,0,0,98331
2006,2009,10,0,0,91629
2007,2009,10,0,0,97966
2002,2010,10,0,0,8988
2003,2010,10,0,0,80450
2004,2010,10,0,0,105345
2005,2010,10,0,0,87795
2006,2010,10,0,0,81784
2007,2010,10,0,0,87283
2002,2006,11,0,0,2465
2003,2006,11,0,0,22074
2004,2006,11,0,0,28987
2005,2006,11,0,0,24113
2002,2007,11,0,0,22426
2003,2007,11,0,0,200988
2004,2007,11,0,0,255574
2005,2007,11,0,0,217866
2006,2007,11,0,0,204403
2002,2008,11,0,0,17078
2003,2008,11,0,0,153016
2004,2008,11,0,0,191968
2005,2008,11,0,0,165786
2006,2008,11,0,0,155598
2007,2008,11,0,0,165734
2002,2009,11,0,0,13753
2003,2009,11,0,0,123039
2004,2009,11,0,0,158266
2005,2009,11,0,0,134133
2006,2009,11,0,0,124917
2007,2009,11,0,0,133341
2002,2010,11,0,0,19850
2003,2010,11,0,0,177323
2004,2010,11,0,0,232121
2005,2010,11,0,0,192914
2006,2010,11,0,0,180691
2007,2010,11,0,0,192856
2002,2006,12,0,0,5505
2003,2006,12,0,0,49278
2004,2006,12,0,0,64575
2005,2006,12,0,0,53654
2002,2007,12,0,0,25937
2003,2007,12,0,1,232552
2004,2007,12,0,0,297342
2005,2007,12,0,0,252990
2006,2007,12,0,0,236208
2002,2008,12,0,0,28638
2003,2008,12,0,0,256677
2004,2008,12,0,0,318566
2005,2008,12,0,0,277946
2006,2008,12,0,0,261063
2007,2008,12,0,0,277925
2002,2009,12,0,0,24425
2003,2009,12,0,0,218458
2004,2009,12,0,0,281195
2005,2009,12,0,0,237864
2006,2009,12,0,0,221727
2007,2009,12,0,0,236907
2002,2010,12,0,0,21017
2003,2010,12,0,0,188137
2004,2010,12,0,1,246368
2005,2010,12,0,0,205201
2006,2010,12,0,0,191239
2007,2010,12,0,0,204096
2002,2006,13,0,0,2900
2003,2006,13,0,0,25968
2004,2006,13,0,0,34037
2005,2006,13,0,0,28352
2002,2007,13,0,0,20618
2003,2007,13,0,0,184828
2004,2007,13,0,0,234771
2005,2007,13,0,2,200936
2006,2007,13,0,1,187686
2002,2008,13,0,0,17850
2003,2008,13,0,0,160030
2004,2008,13,0,0,201191
2005,2008,13,0,0,173769
2006,2008,13,0,0,162549
2007,2008,13,0,0,173329
2002,2009,13,0,0,17772
2003,2009,13,0,0,158898
2004,2009,13,0,0,203945
2005,2009,13,0,0,172918
2006,2009,13,0,0,161333
2007,2009,13,0,1,172205
2002,2010,13,0,0,13919
2003,2010,13,0,0,124604
2004,2010,13,0,0,163412
2005,2010,13,0,0,136020
2006,2010,13,0,0,126642
2007,2010,13,0,0,135176
2002,2006,14,0,0,2465
2003,2006,14,0,0,22065
2004,2006,14,0,0,28958
2005,2006,14,0,0,24087
2002,2007,14,0,0,22715
2003,2007,14,0,0,203548
2004,2007,14,0,0,258447
2005,2007,14,0,0,221493
2006,2007,14,0,0,206793
2002,2008,14,0,0,21767
2003,2008,14,0,0,195183
2004,2008,14,0,0,244231
2005,2008,14,0,0,211001
2006,2008,14,0,1,198276
2007,2008,14,0,0,211465
2002,2009,14,0,0,17496
2003,2009,14,0,0,156558
2004,2009,14,0,0,200160
2005,2009,14,0,0,170469
2006,2009,14,0,0,158919
2007,2009,14,0,1,169675
2002,2010,14,0,0,13050
2003,2010,14,0,0,116805
2004,2010,14,0,1,153195
2005,2010,14,0,0,127483
2006,2010,14,0,0,118737
2007,2010,14,0,0,126721
2002,2006,15,0,0,2610
2003,2006,15,0,0,23357
2004,2006,15,0,0,30599
2005,2006,15,0,1,25477
2002,2007,15,0,0,12788
2003,2007,15,0,0,114604
2004,2007,15,0,0,145665
2005,2007,15,0,0,124703
2006,2007,15,0,0,116349
2002,2008,15,0,0,14157
2003,2008,15,0,0,126791
2004,2008,15,0,0,157377
2005,2008,15,0,0,137417
2006,2008,15,0,1,128808
2007,2008,15,0,0,137348
2002,2009,15,0,0,11576
2003,2009,15,0,1,103534
2004,2009,15,0,0,133338
2005,2009,15,0,0,112580
2006,2009,15,0,0,105191
2007,2009,15,0,0,112309
2002,2010,15,0,0,6525
2003,2010,15,0,0,58393
2004,2010,15,0,0,76548
2005,2010,15,0,0,63733
2006,2010,15,0,0,59352
2007,2010,15,0,0,63353
2002,2006,16,0,0,1885
2003,2006,16,0,0,16884
2004,2006,16,0,0,22178
2005,2006,16,0,0,18438
2002,2007,16,0,0,17863
2003,2007,16,0,0,159996
2004,2007,16,0,0,203603
2005,2007,16,0,0,174051
2006,2007,16,0,1,162544
2002,2008,16,0,0,23605
2003,2008,16,0,0,211909
2004,2008,16,0,0,262053
2005,2008,16,0,2,229370
2006,2008,16,0,0,215253
2007,2008,16,0,0,229253
2002,2009,16,0,0,18816
2003,2009,16,0,0,168299
2004,2009,16,0,0,215040
2005,2009,16,0,1,183425
2006,2009,16,0,0,170856
2007,2009,16,0,1,182368
2002,2010,16,0,0,12180
2003,2010,16,0,0,109016
2004,2010,16,0,0,143044
2005,2010,16,0,0,118987
2006,2010,16,0,0,110820
2007,2010,16,0,0,118275
2002,2006,17,0,0,725
2003,2006,17,0,0,6490
2004,2006,17,0,0,8503
2005,2006,17,0,0,7085
2002,2007,17,0,0,9373
2003,2007,17,0,1,84093
2004,2007,17,0,0,106838
2005,2007,17,0,0,91576
2006,2007,17,0,0,85395
2002,2008,17,0,0,13313
2003,2008,17,0,0,119398
2004,2008,17,0,0,147782
2005,2008,17,0,0,129518
2006,2008,17,0,0,121353
2007,2008,17,0,0,129188
2002,2009,17,0,0,13743
2003,2009,17,0,1,122911
2004,2009,17,0,0,157533
2005,2009,17,0,1,133883
2006,2009,17,0,0,124737
2007,2009,17,0,1,133244
2002,2010,17,0,0,6085
2003,2010,17,0,0,54448
2004,2010,17,0,0,71171
2005,2010,17,0,0,59304
2006,2010,17,0,0,55370
2007,2010,17,0,0,59076
2002,2006,18,0,0,1015
2003,2006,18,0,0,9087
2004,2006,18,0,0,11924
2005,2006,18,0,0,9924
2002,2007,18,0,0,9213
2003,2007,18,0,1,82627
2004,2007,18,0,1,104984
2005,2007,18,0,0,89811
2006,2007,18,0,1,83939
2002,2008,18,0,0,13197
2003,2008,18,0,0,118327
2004,2008,18,0,0,147001
2005,2008,18,0,1,128509
2006,2008,18,0,0,120312
2007,2008,18,0,2,128028
2002,2009,18,0,0,12449
2003,2009,18,0,0,111324
2004,2009,18,0,0,143124
2005,2009,18,0,1,121156
2006,2009,18,0,0,113023
2007,2009,18,0,0,120667
2002,2010,18,0,0,7531
2003,2010,18,0,0,67402
2004,2010,18,0,0,88321
2005,2010,18,0,0,73450
2006,2010,18,0,0,68580
2007,2010,18,0,1,73182
2002,2006,19,0,0,3045
2003,2006,19,0,0,27263
2004,2006,19,0,0,35842
2005,2006,19,0,0,29769
2002,2007,19,0,0,12090
2003,2007,19,0,1,108264
2004,2007,19,0,0,137539
2005,2007,19,0,0,117867
2006,2007,19,0,0,110071
2002,2008,19,0,0,16791
2003,2008,19,0,0,150499
2004,2008,19,0,0,187325
2005,2008,19,0,1,162987
2006,2008,19,0,0,152885
2007,2008,19,0,1,162875
2002,2009,19,0,0,20820
2003,2009,19,0,0,186264
2004,2009,19,0,0,237518
2005,2009,19,0,0,202711
2006,2009,19,0,0,189062
2007,2009,19,0,0,201819
2002,2010,19,0,0,15949
2003,2010,19,0,0,142759
2004,2010,19,0,0,187180
2005,2010,19,0,1,155827
2006,2010,19,0,0,145120
2007,2010,19,0,0,154889
2002,2006,20,0,0,725
2003,2006,20,0,0,6483
