Year,LL1,LL2,LL3,LL4,Indonesia,Australia
1952,8.12,0,0,0,0,82
1953,72.33,0,0,2244.55,0,326
1954,237.96,0,26.4,2646.98,0,530
1955,258.9,0,28.28,1485.9,0,420
1956,213.87,0,18.75,3108.34,0,496
1957,7366.51,0,0.27,11776.89,0,1236
1958,3441.59,0,3.44,11260.13,0,1503
1959,14048.8,0,16558.66,6286.8,0,2611
1960,5065.83,0,41106.07,13748.74,0,3191
1961,13399.15,0,53895.62,13736.99,0,4324
1962,11768.54,0,29028.92,12685.99,0,4704
1963,16212.77,0,29662.38,5032.28,0,4979
1964,10408,0,31459.62,2871.22,0,6498
1965,13986.3,0,26647.55,1236.39,0,7217
1966,20790.65,0,13075.09,2121.19,0,8105
1967,38596.26,0,9883.37,1143.63,0,5137
1968,43035.37,0,11609.84,614.53,0,6574
1969,44202.68,80,612.12,345.17,0,9395
1970,35702.06,130,423.15,115.2,0,8555
1971,33451.65,30,1236,103.28,0,7148
1972,34151.96,70,166.47,19.22,0,10853
1973,27849.87,90,12.11,10.06,0,13225
1974,30363.11,100,104.13,81.33,0,9933
1975,22129.43,15,152.45,47.21,0,9363
1976,33052.72,15,76.53,32.22,6,9651
1977,26193.35,5,1.55,6.71,8,11227
1978,19758.65,80,24.92,10.78,5,13017
1979,26213.45,53,5.61,5.38,5.5,10667
1980,30291.15,64,2.14,8.24,5,10786
1981,24422.18,56.3,174.82,17.26,3,15373
1982,18712.27,172.72,24.2,22.84,1.5,17971
1983,21950.97,130.76,2.19,17.42,3.5,22084
1984,20431.62,243.4,16.4,32.28,8,14666
1985,17985.52,145.99,21.48,80.59,7,12343
1986,14044.77,297.5,9.78,36.6,5,14125
1987,12572.26,608.14,112.62,5.92,10.5,11017
1988,10266.14,827.58,7.63,19.17,97,10976
1989,10866.57,1375.83,28.06,5.23,374,5688
1990,7536.77,1160.37,18.15,9.98,542.5,4486
1991,9012.1,1227.03,3.5,0,638,2759
1992,9690.87,1175.74,35.81,0.22,441,1949
1993,10613.37,850.04,80.02,0.33,1192.82,1517
1994,8483.46,963.51,51.77,0,677.49,1971
1995,9129.33,847.49,20.48,3.04,906.13,2518
1996,9109.54,1442.64,112.19,0.59,1263.73,4339
1997,8599.38,782.91,55.8,1.2,1566.15,5262
1998,11158.82,1396.55,34.98,0.26,2087.33,4451
1999,10366.49,1482.7,30.08,5.55,1981.31,5021
2000,7586.5,1423.83,3.51,12.75,1538.07,5130.6
2001,8757.19,1357.08,18.96,15.11,1327.24,5162.05
2002,7604.05,1121.2,23.42,0.96,2444.83,5233.57
2003,6660.97,956.71,93.84,10.73,760.65,5374.63
2004,6610.6,1279.55,107.17,1.68,472.66,4873.7
2005,7144.87,937.05,368.48,0,1715.05,5213.69
2006,3749.58,845.21,986.56,0,643.99,5189.47
2007,3481.92,840.65,328,1.76,1123.57,5342.19
2008,4353.43,908.58,32.93,4.34,705.03,5211.48
2009,4299.26,913.61,4.79,3.08,1014.71,5017.37
2010,3656.65,1198.2,81.9,18.98,372.2,3941.91
2011,3765.4,516.82,68.03,0.54,745.21,3786.49
2012,4270.92,469.6,53.51,8.67,728.82,4569.86
2013,4674.34,975.6,17.86,0,1425.15,4198.28
2014,5438,917.46,15.93,1.52,1017.97,5038.84
2015,6969.96,1139.91,58.32,0.58,1010.59,4947.75
2016,7082.2,1011.78,61.37,1.64,637.22,4897.45
2017,6876.6,1166.78,41.25,0,553.73,4683.37
2018,8857.69,1211.29,87.25,0,1251.9,5130.45
2019,8642.34,1224.69,44.48,0,715.83,5293.59
2020,8658.23,1112.52,18.81,0.68,1874.82,4570.3
2021,9352.91,1272.01,0.87,0,1117.96,4593.51
2022,8698.91,1314.67,1.27,0,732.54,4943.17
2023,9906.2,1129.58,2.36,0,1089.57,4698.67
2024,10685.64,1330.02,3.65,0,1375.07,4618.38
2025,11402.56,1557.11,3.19,0,656.28,4450.35
