Year,Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1931,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1932,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1933,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1934,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1935,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1936,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1937,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1938,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1939,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1940,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1941,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1942,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1943,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1944,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1945,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1946,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1947,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1948,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1949,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1950,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1951,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1952,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1953,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1954,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1955,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1956,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1957,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1958,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1959,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1960,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1961,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1962,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1963,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1964,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1965,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1966,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
1967,1,45,57.1,74.1,88.8,101.8,113.9,124.3,133.3,141,147.6,153.3,158.1,162.3,165.9,169,171.7,173.9,175.9,177.6,179,180.3,181.3,182.3,183,183.7,184.3,184.8,185.2,185.6,185.9,186.2
